city_id,name,n_box,n_voter
23,BASKİL,74,9966
23,ELAZIĞ MERKEZ,997,324235
23,KARAKOÇAN,125,21184
23,KEBAN,39,4969
23,KOVANCILAR,132,27145
23,MADEN,49,7554
23,PALU,71,13354
23,SİVRİCE,61,5962
24,ÇAYIRLI,55,6279
24,ERZİNCAN MERKEZ,386,114965
24,İLİÇ,68,6826
24,KEMAH,83,5407
24,KEMALİYE,71,3697
24,OTLUKBELİ,14,1760
24,REFAHİYE,130,8970
24,TERCAN,104,11363
24,ÜZÜMLÜ,57,10371
25,AŞKALE,96,15225
25,AZİZİYE,167,43435
25,ÇAT,57,10798
25,HINIS,113,16312
25,HORASAN,127,23966
25,İSPİR,120,11856
25,KARAÇOBAN,55,13556
25,KARAYAZI,101,16450
25,KÖPRÜKÖY,51,9201
25,NARMAN,58,8865
25,OLTU,120,22497
25,OLUR,47,5397
25,PALANDÖKEN,351,122640
25,PASİNLER,92,18009
25,PAZARYOLU,44,3072
25,ŞENKAYA,89,12764
25,TEKMAN,85,14667
25,TORTUM,78,12293
25,UZUNDERE,26,6234
25,YAKUTİYE,359,122465
26,ALPU,43,8363
26,BEYLİKOVA,29,4882
26,ÇİFTELER,48,11442
26,GÜNYÜZÜ,24,4446
26,HAN,16,1837
26,İNÖNÜ,22,5230
26,MAHMUDİYE,27,5861
26,MİHALGAZİ,10,2586
26,MİHALIÇÇIK,59,6804
26,ODUNPAZARI,902,315454
26,SARICAKAYA,15,3894
26,SEYİTGAZİ,65,10739
26,SİVRİHİSAR,94,16220
26,TEPEBAŞI,837,291231
27,ARABAN,88,21986
27,İSLAHİYE,157,44038
27,KARKAMIŞ,44,7095
27,NİZİP,318,94947
27,NURDAĞI,98,26407
27,OĞUZELİ,123,22746
27,ŞAHİNBEY,1704,602612
27,ŞEHİTKAMİL,1473,525362
27,YAVUZELİ,59,14174
28,ALUCRA,50,6766
28,BULANCAK,190,54112
28,ÇAMOLUK,37,5046
28,ÇANAKÇI,24,4945
28,DERELİ,62,15499
28,DOĞANKENT,20,5036
28,ESPİYE,96,27389
28,EYNESİL,38,10471
28,GİRESUN MERKEZ,326,106550
28,GÖRELE,118,25308
28,GÜCE,25,6302
28,KEŞAP,72,16537
28,PİRAZİZ,43,11383
28,ŞEBİNKARAHİSAR,91,15436
28,TİREBOLU,101,26165
28,YAĞLIDERE,49,12331
29,GÜMÜŞHANE MERKEZ,194,34092
29,KELKİT,135,26046
29,KÖSE,24,4647
29,KÜRTÜN,58,9271
29,ŞİRAN,93,14016
29,TORUL,63,8447
30,ÇUKURCA,36,11337
30,DERECİK,45,14882
30,HAKKARİ MERKEZ,175,52803
30,ŞEMDİNLİ,84,27262
30,YÜKSEKOVA,250,79950
31,ALTINÖZÜ,126,38349
31,ANTAKYA,625,213521
31,ARSUZ,208,72009
31,BELEN,70,23499
31,DEFNE,310,109414
31,DÖRTYOL,253,88633
31,ERZİN,93,29642
31,HASSA,121,37610
31,İSKENDERUN,463,164655
31,KIRIKHAN,228,72698
31,KUMLU,34,9278
31,PAYAS,84,29655
31,REYHANLI,199,64674
31,SAMANDAĞ,249,84206
31,YAYLADAĞI,89,24676
32,AKSU,22,3480
32,ATABEY,19,4667
32,EĞİRDİR,91,23668
32,GELENDOST,43,11842
32,GÖNEN,22,5633
32,ISPARTA MERKEZ,540,190212
32,KEÇİBORLU,47,11201
32,SENİRKENT,33,8555
32,SÜTÇÜLER,43,8220
32,ŞARKİKARAAĞAÇ,74,19558
32,ULUBORLU,19,4476
32,YALVAÇ,123,34727
32,YENİŞARBADEMLİ,7,1947
33,AKDENİZ,504,176153
33,ANAMUR,179,52830
33,AYDINCIK,32,8903
33,BOZYAZI,69,20949
33,ÇAMLIYAYLA,25,7095
33,ERDEMLİ,345,111674
33,GÜLNAR,98,20515
33,MEZİTLİ,437,157884
33,MUT,184,48487
33,SİLİFKE,311,97604
33,TARSUS,754,249821
33,TOROSLAR,636,226675
33,YENİŞEHİR,549,200160
34,ADALAR,38,13516
34,ARNAVUTKÖY,606,219879
34,ATAŞEHİR,856,318508
34,AVCILAR,815,302475
34,BAĞCILAR,1387,517237
34,BAHÇELİEVLER,1149,425392
34,BAKIRKÖY,463,169039
34,BAŞAKŞEHİR,857,317962
34,BAYRAMPAŞA,542,200830
34,BEŞİKTAŞ,370,134682
34,BEYKOZ,517,187442
34,BEYLİKDÜZÜ,730,270526
34,BEYOĞLU,461,167821
34,BÜYÜKÇEKMECE,536,197387
34,ÇATALCA,179,60887
34,ÇEKMEKÖY,574,211874
34,ESENLER,847,315073
34,ESENYURT,1730,643366
34,EYÜPSULTAN,843,308926
34,FATİH,734,264732
34,GAZİOSMANPAŞA,961,357455
34,GÜNGÖREN,536,200566
34,KADIKÖY,1050,389092
34,KAĞITHANE,909,334013
34,KARTAL,996,368489
34,KÜÇÜKÇEKMECE,1543,572709
34,MALTEPE,1080,398346
34,PENDİK,1480,547210
34,SANCAKTEPE,921,343363
34,SARIYER,720,260603
34,SİLİVRİ,408,146149
34,SULTANBEYLİ,660,244661
34,SULTANGAZİ,1014,377028
34,ŞİLE,121,34430
34,ŞİŞLİ,556,203098
34,TUZLA,563,207751
34,ÜMRANİYE,1444,534060
34,ÜSKÜDAR,1095,402518
34,ZEYTİNBURNU,511,188988
35,ALİAĞA,208,72197
35,BALÇOVA,173,61315
35,BAYINDIR,110,31497
35,BAYRAKLI,638,233097
35,BERGAMA,306,83650
35,BEYDAĞ,40,9875
35,BORNOVA,944,340235
35,BUCA,1073,393513
35,ÇEŞME,117,39449
35,ÇİĞLİ,453,165743
35,DİKİLİ,124,40403
35,FOÇA,80,27728
35,GAZİEMİR,283,103524
35,GÜZELBAHÇE,85,28577
35,KARABAĞLAR,1018,372086
35,KARABURUN,37,10610
35,KARŞIYAKA,766,280303
35,KEMALPAŞA,260,86898
35,KINIK,79,21576
35,KİRAZ,115,33925
35,KONAK,768,266435
35,MENDERES,244,82272
35,MENEMEN,422,147231
35,NARLIDERE,139,50010
35,ÖDEMİŞ,338,104377
35,SEFERİHİSAR,129,44719
35,SELÇUK,91,30071
35,TİRE,225,69165
35,TORBALI,439,152729
35,URLA,173,59214
36,AKYAKA,36,7236
36,ARPAÇAY,57,11206
36,DİGOR,56,13087
36,KAĞIZMAN,115,29354
36,KARS MERKEZ,253,78042
36,SARIKAMIŞ,101,24860
36,SELİM,71,14685
36,SUSUZ,33,6618
37,ABANA,22,3455
37,AĞLI,25,2554
37,ARAÇ,137,14930
37,AZDAVAY,57,6137
37,BOZKURT,47,7616
37,CİDE,109,18600
37,ÇATALZEYTİN,48,5776
37,DADAY,68,6931
37,DEVREKANİ,71,10126
37,DOĞANYURT,29,4534
37,HANÖNÜ,26,3550
37,İHSANGAZİ,35,4346
37,İNEBOLU,106,15988
37,KASTAMONU MERKEZ,429,111275
37,KÜRE,45,4333
37,PINARBAŞI,36,5161
37,SEYDİLER,28,3576
37,ŞENPAZAR,31,3638
37,TAŞKÖPRÜ,168,30851
37,TOSYA,137,32066
38,AKKIŞLA,22,4811
38,BÜNYAN,75,19492
38,DEVELİ,174,49473
38,FELAHİYE,20,4530
38,HACILAR,33,9545
38,İNCESU,73,21289
38,KOCASİNAN,826,290446
38,MELİKGAZİ,1147,415186
38,ÖZVATAN,15,3276
38,PINARBAŞI,139,16981
38,SARIOĞLAN,47,10587
38,SARIZ,49,7981
38,TALAS,328,117244
38,TOMARZA,78,16354
38,YAHYALI,96,26791
38,YEŞİLHİSAR,48,12285
39,BABAESKİ,125,38671
39,DEMİRKÖY,32,7272
39,KIRKLARELİ MERKEZ,241,80058
39,KOFÇAZ,17,1917
39,LÜLEBURGAZ,356,122224
39,PEHLİVANKÖY,13,3049
39,PINARHİSAR,51,14475
39,VİZE,81,23930
40,AKÇAKENT,23,3088
40,AKPINAR,35,5928
40,BOZTEPE,23,4274
40,ÇİÇEKDAĞI,71,10931
40,KAMAN,110,26554
40,KIRŞEHİR MERKEZ,343,109020
40,MUCUR,78,14144
41,BAŞİSKELE,236,82786
41,ÇAYIROVA,289,107077
41,DARICA,448,163386
41,DERİNCE,310,110604
41,DİLOVASI,102,36043
41,GEBZE,810,294561
41,GÖLCÜK,371,131571
41,İZMİT,798,275384
41,KANDIRA,164,38453
41,KARAMÜRSEL,142,45969
41,KARTEPE,285,100219
41,KÖRFEZ,362,129224
42,AHIRLI,20,3713
42,AKÖREN,19,4253
42,AKŞEHİR,220,71715
42,ALTINEKİN,47,10259
42,BEYŞEHİR,196,57730
42,BOZKIR,87,19078
42,CİHANBEYLİ,131,37648
42,ÇELTİK,25,7238
42,ÇUMRA,158,48545
42,DERBENT,16,3366
42,DEREBUCAK,18,4706
42,DOĞANHİSAR,46,12569
42,EMİRGAZİ,25,5659
42,EREĞLİ,337,110368
42,GÜNEYSINIR,29,6894
42,HADİM,45,8744
42,HALKAPINAR,19,3290
42,HÜYÜK,43,12561
42,ILGIN,143,41394
42,KADINHANI,95,22624
42,KARAPINAR,114,36050
42,KARATAY,700,248946
42,KULU,127,37279
42,MERAM,677,240788
42,SARAYÖNÜ,69,20777
42,SELÇUKLU,1300,476024
42,SEYDİŞEHİR,169,50044
42,TAŞKENT,19,4431
42,TUZLUKÇU,23,5076
42,YALIHÜYÜK,6,1508
42,YUNAK,69,15980
43,ALTINTAŞ,53,12120
43,ASLANAPA,40,6880
43,ÇAVDARHİSAR,31,5062
43,DOMANİÇ,52,11901
43,DUMLUPINAR,15,2429
43,EMET,69,14933
43,GEDİZ,145,38189
43,HİSARCIK,41,9096
43,KÜTAHYA MERKEZ,624,192819
43,PAZARLAR,19,4012
43,SİMAV,204,49668
43,ŞAPHANE,22,4733
43,TAVŞANLI,290,78441
44,AKÇADAĞ,103,20543
44,ARAPGİR,69,8165
44,ARGUVAN,51,5811
44,BATTALGAZİ,570,192531
44,DARENDE,95,18956
44,DOĞANŞEHİR,97,26684
44,DOĞANYOL,20,3040
44,HEKİMHAN,85,12975
44,KALE,29,4600
44,KULUNCAK,33,5812
44,PÜTÜRGE,90,10293
44,YAZIHAN,43,9288
44,YEŞİLYURT,615,212412
45,AHMETLİ,47,13286
45,AKHİSAR,430,137835
45,ALAŞEHİR,258,78722
45,DEMİRCİ,134,28933
45,GÖLMARMARA,43,11683
45,GÖRDES,93,21919
45,KIRKAĞAÇ,105,30693
45,KÖPRÜBAŞI,61,10581
45,KULA,136,34756
45,SALİHLİ,396,127890
45,SARIGÖL,91,28227
45,SARUHANLI,143,44177
45,SELENDİ,82,15534
45,SOMA,278,83443
45,ŞEHZADELER,355,121494
45,TURGUTLU,373,129403
45,YUNUSEMRE,548,187783
46,AFŞİN,177,53147
46,ANDIRIN,101,25641
46,ÇAĞLAYANCERİT,54,16395
46,DULKADİROĞLU,427,142663
46,EKİNÖZÜ,31,7492
46,ELBİSTAN,298,87717
46,GÖKSUN,136,35053
46,NURHAK,33,8579
46,ONİKİŞUBAT,817,281904
46,PAZARCIK,174,47001
46,TÜRKOĞLU,157,47946
47,ARTUKLU,377,118418
47,DARGEÇİT,63,17384
47,DERİK,140,37156
47,KIZILTEPE,538,162156
47,MAZIDAĞI,88,21968
